bins	SAMPLE_101	SAMPLE_102	SAMPLE_103	SAMPLE_104	SAMPLE_105	SAMPLE_106	SAMPLE_107	SAMPLE_108	SAMPLE_109	SAMPLE_111	SAMPLE_112	SAMPLE_113	SAMPLE_114	SAMPLE_115	SAMPLE_116	SAMPLE_117	SAMPLE_118	SAMPLE_121	SAMPLE_122	SAMPLE_123	SAMPLE_124	SAMPLE_125	SAMPLE_126	SAMPLE_127	SAMPLE_128	SAMPLE_129	SAMPLE_130	SAMPLE_132	SAMPLE_133	SAMPLE_134	SAMPLE_135	SAMPLE_136	SAMPLE_137
year_1978_Bin_0_MAG_00001	0.011698947008371296	0.35979229932857715	0.02979555143602254	0.13046821485885232	0.025807067618137013	0.2167600502968988	0.00986797507131154	0.014856459775329884	0.04939437252492027	0.06771228862409272	0.004873508970765592	0.06976922442997291	0.04767062265894786	0.016046536151117546	0.004732835385764631	0.011828322399931236	0.13420548002257868	0.16593368713663015	5.45503451930396	1.3104694820287834	2.955995973412471	1.3245335175308086	0.5600647408637491	2.7529209153043115	0.049897252899648116	2.5932092097556136	6.542058743516831	0.011976085047483428	0.014506880378272378	0.04359153176032943	4.340045715592127	0.017593059453309218	0.010374843043724451
year_1978_Bin_10_MAG_00001	0.09164901923035787	8.195326241237522	4.057403677429015	20.334131349368178	4.992717456781894	6.9942713972146375	0.10645388999178178	0.7290968445762855	1.5702930336960805	6.284484263593011	0.3134160537503303	1.1424598352629933	0.125029412393848	0.47145911004478963	0.1836437419051227	0.3602047033609137	1.6628090716447963	5.45331450940127	37.20465057386082	7.211219629331385	29.021578174175193	2.949416547809544	95.00899553483634	49.52994164443055	2.003794112553037	4.034888791825114	8.751590684361714	7.047326525528578	1.2566164948154834	7.3008644656190675	2.018416126203148	0.7755342705277808	0.32071032742463357
year_1978_Bin_10_MAG_00002	0.006723472046658924	0.660448901940393	0.1390701811473137	1.4700613006911314	0.24280145943962503	0.6747776606478568	0.15987863753083162	0.6756625725447384	0.9855112757488956	6.266135294411299	0.6227052323308219	2.7093132741157167	0.32459286218440053	0.7008043096685143	0.13920992325662154	0.1923472702554092	0.9445651979837782	0.8580198306260046	10.684561248037324	1.357829803220518	6.575047707263784	0.45966827737515126	34.69723168512951	15.79349978738065	1.0661718059089595	1.10930748037507	3.0454484337041205	4.900571211813692	0.26518570396317365	4.527104321219557	0.6180585794549585	0.7186105881156897	0.39244321314297315
year_1978_Bin_11_MAG_00001	0.049104811963842455	0.4064384117048242	0.18941219194184925	0.3292929793806314	0.2866173180528129	0.4347273307995438	0.11717767834485011	0.3962392039272766	0.3853355715464964	0.3894771652670542	0.0760428546843507	0.43325321658066757	0.07339761633215006	0.32793298778122293	0.3037612336035329	0.14356151537337422	0.6612975559528983	1.7498333736833969	27.320022430746164	4.054505035979617	2.8197810595829456	1.7065437107863013	6.375464147267037	3.1242959400057755	0.4397775301677493	1.0893984826431529	1.5719785580734644	0.4260328643975347	0.042070045765722666	0.21204894219634632	5.767359034865372	0.1182627547523138	0.07010993690805728
year_1978_Bin_11_MAG_00002	0.07138557533796287	8.370525464272022	0.12471030866461713	0.4491025054005337	0.16711515867095122	0.3458544021077192	0.07353792296590936	0.35140769910354036	0.490306776810783	0.44583154971513167	0.13231121315569186	1.836620710725969	0.3542737700072283	0.17551382693949333	0.13005081345409775	0.32019555355367124	1.070519088785685	22.66118595637677	23.93648152640735	17.894577193477794	5.747069139251385	9.429616700793458	43.816150845662726	21.442086986473207	1.273553075095777	1.496447529333447	2.5165112676371204	0.2698548790272167	0.06291321638317832	0.5052626741770447	3.6124731008295585	0.4476332455944975	0.10502909954121338
year_1978_Bin_12_MAG_00001	0.30737396415159685	11.915312676278427	0.49232423310378615	2.802137116340711	0.5942604448340625	2.2919097998838027	0.592139941488468	0.47999377716623604	6.182989325446697	6.168405321414526	1.9518833223362189	184.8181165650333	34.26918143924853	144.98032415989397	0.6674984114410036	2.0929565124348737	6.0967286947723505	1.8625255882361222	162.16127792414525	27.1360883529764	2.485002782911329	3.75329350281717	101.20833165169776	25.901448334054482	6.531001069050928	11.361286653007094	23.428769436969638	86.13622655995555	4.974645472114102	57.52428406907627	2.9723595427578133	19.39856335135734	0.9320483916837411
year_1978_Bin_13_MAG_00001	0.035671932985367145	0.6432660086496012	0.06469129707192862	0.3130132376267197	0.47967831312319886	1.9911623566412489	0.04498096051215677	0.13102792094520965	0.07748686261700215	0.0672879163353623	0.009722447637998781	0.08363071167587045	0.020852569444349732	0.03256846918971704	0.07273892443260008	0.05397203813898553	27.50768978455101	42.41644719883581	32.71012652530711	8.628979914431413	64.55722126448931	19.719034236981614	11.150502309697183	73.97492577191075	32.22779396982869	2.3334707990720296	4.6466640662399605	1.8968169890604776	2.1357429560032353	19.322378012937577	1.1646542341720618	0.4733358519284301	0.02909608122060029
year_1978_Bin_13_MAG_00002	0.04673172454950882	0.17609337063866745	0.024570725624981058	1.246954344165746	0.05932844127597621	0.258647622412047	0.07594945176000142	0.2645785016341116	9.898296489612653	4.349331566311903	0.36643293348899286	0.21785764677478525	0.04983439399909489	0.08603485198931007	0.08976461894942354	0.05076939638729124	1.9702584373357135	2.902072243723538	3.437956540052195	0.6005585348493764	10.611224836405937	0.46151074061261155	7.786519284816192	5.605752783529075	0.6702144359937249	3.3070125179114727	4.855148418303304	0.09807888677649931	0.15079207641392198	1.7299249886861157	0.1572168994417787	0.040870453151112734	0.05606021808361091
year_1978_Bin_13_MAG_00003	0.08720223908521062	4.500352756203275	1.0392561107225957	7.655167226761937	1.0374548893953577	3.3316912241236647	0.38350099376966723	2.9001701049168074	1.508397784417144	15.7035163630725	0.5805524422789685	0.6107115514513808	0.038376429082308164	0.431604724856788	0.013076718841598991	0.009504979450901946	1.0002967614020657	0.7151568760069676	3.161500382355033	1.0968301420346236	6.425759287295519	0.4150000022088679	5.39950843853803	6.9334321212686145	0.040368938369493235	2.3261179190874017	9.349242336222385	0.021658170624442537	0.005555854979870587	0.019226317512390644	0.03236609953247102	0.020680967466468282	0.007082734914205362
year_1978_Bin_13_MAG_00004	0.004699715129362488	0.24059081389752462	0.020697998100862418	0.11259414389219143	0.028401212326183384	0.09487362930395307	0.02447676158018653	0.0523472560063478	0.08587744058691156	0.09450550879977106	0.02910233229704593	0.07125147963630214	0.01663046164652627	0.08547029670772793	0.06635144451526465	0.0951624022789651	3.281746165953406	2.2114130364088087	16.68932450537872	7.470845636536286	24.048975636406208	3.9710407534112933	35.58778698440366	32.96713061123613	0.12242022971760085	0.5597747050483239	0.6265749183761072	0.06734393901947267	0.033328563809722024	0.13941621030997567	0.08624946342859373	0.16455506848602314	0.03013645173458902
