bins	SAMPLE_12	SAMPLE_13	SAMPLE_14	SAMPLE_15	SAMPLE_16	SAMPLE_17	SAMPLE_18	SAMPLE_19	SAMPLE_21	SAMPLE_22
year_1978_Bin_0_MAG_00001	0.011402535580448011	0.13617358101336377	0.18763463680517217	0.009191634197283294	0.006531906541343856	0.010279362232487578	0.014176574370026026	0.01205628006759421	0.01293288695869469	0.00399490828082258
year_1978_Bin_10_MAG_00001	1.6885084310928853	0.8519713031639801	1.0868129661562538	1.1736407678894631	0.33920235657964737	0.810630070403438	0.5456176740713446	0.3091133914197923	1.10373035407347	1.0893926314794382
year_1978_Bin_10_MAG_00002	0.9038752837202082	1.0735260304750758	1.4385663079041562	1.122181427162295	0.2879860775319102	0.7711330333949025	0.36479887156880286	0.2304986880274718	0.2838812669416811	0.23771025539464666
year_1978_Bin_11_MAG_00001	0.11812383872030989	1.0770962101081285	0.8009716100842101	0.09833213255433404	0.1008997091878553	0.14689294787841312	0.11810414983388413	0.08968980524045235	0.14650172241295326	0.16457138023469153
year_1978_Bin_11_MAG_00002	0.15786118165085353	0.21797870587563165	0.1616144387377862	0.13954532018603172	0.10452361455299974	0.2126054956692232	0.1741758027937878	0.1313337765814311	0.24598654855181243	0.23796047364067593
year_1978_Bin_12_MAG_00001	9.609183044232804	7.165448302142513	0.25860097932198334	1.0983674681889302	1.3399058690802126	0.5560240409749669	0.4161062518361114	0.39808983406715215	0.20297771512186147	0.15330016678696226
year_1978_Bin_13_MAG_00001	0.057971046612648715	0.052425250234242986	0.06216986059985297	0.0540542107136671	0.03841073467055276	0.08025464633060243	0.0494789713221124	0.035967720157716786	0.07185684787367382	0.18040664854551133
year_1978_Bin_13_MAG_00002	0.893163487456482	0.283480265763925	0.6699232537163367	0.22669972167322158	0.10398969887822707	0.3083948498571785	0.12382939185128591	0.029725049096509262	0.3013910067946015	0.03753450342761048
year_1978_Bin_13_MAG_00003	4.336996483040533	1.454954667404134	1.067423704598377	0.5030477959253455	0.06463357311330653	0.15445332065737677	0.05781247860159224	0.019958336333712228	0.17251158882542567	0.7538195743688271
year_1978_Bin_13_MAG_00004	0.05132744513963864	0.08533371489522223	0.12691051940112127	0.07662109603652588	0.04657309728527388	0.10737411709614059	0.07180821311965868	0.042725392510113556	0.06165172938590215	0.05652145635235506
year_1978_Bin_13_MAG_00005	0.013283722108266002	0.025580996212506226	0.02429294839643879	0.005252169102515609	0.0025027785507545828	0.02503778329137041	0.014448463923830217	0.006530219134758462	0.12282610687964168	0.0007398360030193307
year_1978_Bin_14_MAG_00001	0.824224818873697	0.06905281586614694	0.09666623851065076	1.3246798187704114	0.1503571582223894	1.5979131976063232	0.49189814401356347	0.12637457107387276	1.0561730338436364	0.06018237582478924
year_1978_Bin_15_MAG_00001	0.2552929621451297	0.10248541371569482	0.05183297404659397	0.1391348456872921	0.0818313050453645	0.7814757466159034	0.32369186567248953	0.5084022415298187	0.07409229489416697	0.0043538212700662444
year_1978_Bin_15_MAG_00002	1.2320220812877942	1.6155373885927393	1.416010197846653	1.7516086892395861	2.108963991487748	8.441136933482227	3.3559330818988222	2.030076062451276	1.4130861128084111	0.6095535281599629
year_1978_Bin_15_MAG_00003	0.02560851973629738	0.035392490400025026	0.01649613333063473	0.020342563170319287	0.014321304308627006	0.03122866800002208	0.05027866146817519	0.023096978606821455	0.030499125100507646	0.016695768651182816
year_1978_Bin_15_MAG_00004	0.2646952486090081	0.2109352975124018	0.4439623813861458	0.21232357477373132	0.2648331915697949	1.5097651953421125	1.1731650670511373	0.9498370222015777	0.030369570506749353	0.00442302239863907
year_1978_Bin_15_MAG_00005	0.2450964692512333	0.07713112364815751	0.05569867795246828	0.07537811002180658	0.045490906541607784	0.3220770499485276	0.18729572465399105	0.16671192794601117	0.059285142370092136	0.03472671657706655
year_1978_Bin_15_MAG_00006	0.13354991872746186	0.20091334852399953	0.12504731620371892	0.033114450607184855	0.05963909267402025	0.13411506240437354	0.041673249406493106	0.10038457338014235	0.026549029129816576	0.0029179651010525667
year_1978_Bin_15_MAG_00007	0.33212857902926934	8.560043964914797	2.707915185741758	0.6821108162696871	0.4866483257139712	8.442339830778442	5.447377199288155	1.0214933560607704	1.8104363300971198	0.27185444877903964
year_1978_Bin_17_MAG_00001	0.23889414923714525	4.282370281647794	12.323013169183271	0.3193476968717631	0.10836988266817012	0.8150146068153715	0.38402237549530793	0.2048833800509372	0.7216407282316432	0.5936841280765388
year_1978_Bin_19_MAG_00001	0.01992245521155745	0.12857021350748066	0.049021458622034504	0.22809847233862468	0.42619864576677646	0.6037322319124395	0.38420974018969223	0.5980729974857067	0.12112794682643079	0.006799171859830223
year_1978_Bin_19_MAG_00002	0.014971111836725882	0.676103916430767	1.351757711830789	1.8502575782517061	0.8020530700251237	1.6846551365879854	0.6791819023280541	0.1348716966162664	0.011649175452752134	0.0038767618271459683
year_1978_Bin_19_MAG_00003	0.016707722939911084	0.07986429890600479	0.06879036876345461	0.32304061191961164	0.2608827447854317	0.06789797282263098	0.06441296511395833	0.03791813275041725	0.07916911535422942	0.009705695090676201
year_1978_Bin_20_MAG_00002	2.537171693174442	2.8678484156849104	2.609321771446268	0.5371812385190716	0.40825545039178335	0.779061862317949	0.28341135768739634	0.1119653016116784	0.47815229703415535	0.004635325411404353
year_1978_Bin_23_MAG_00001	0.09539711476107748	0.6687188505007702	0.3570319516216459	0.11181395751871148	0.0923011788950796	0.1893409198047121	0.13310499197288914	0.12093222801421663	0.18660948870906444	0.25546133164800894
