""	SAMPLE_101	SAMPLE_102	SAMPLE_103	SAMPLE_104	SAMPLE_105	SAMPLE_106	SAMPLE_107	SAMPLE_108	SAMPLE_109	SAMPLE_111	SAMPLE_112	SAMPLE_113	SAMPLE_114	SAMPLE_115	SAMPLE_116	SAMPLE_117	SAMPLE_118	SAMPLE_121	SAMPLE_122	SAMPLE_123	SAMPLE_124	SAMPLE_125	SAMPLE_126	SAMPLE_127	SAMPLE_128	SAMPLE_129	SAMPLE_130	SAMPLE_132	SAMPLE_133	SAMPLE_134	SAMPLE_135	SAMPLE_136	SAMPLE_137
year_2021_Bin_43_MAG_00001	0	0,0044754334	0,018459	0,011844995	0,0118580535	0,015129691	0,010154537	0,0068546934	0,0054019256	0,0023971125	0,005848282	0,024968352	0,018050762	0,012187898	0,005017494	0,036121916	0,035740383	0,03430651	0,038088936	0,029256927	0,029521393	0,035047673	0,03145614	0,03070319	0,015544158	0,020294482	0,020890573	0,023566425	0,009486507	0,026879622	0,025869338	0,030844992	0,053319108
year_2021_Bin_44_MAG_00001	0	0,034520682	0,018392086	0,008908613	0,024961434	0,013671566	0,010222622	0,04083268	0,01912032	0,032584403	0,041314468	0,018102301	0,005876439	0,009269416	0,006342898	0,003507222	0,038800858	0,04264804	0,025630478	0,03613936	0,025046859	0,03721903	0,030038813	0,023301141	0,022107547	0,026442425	0,02280957	0,022035437	0,021072453	0,01758364	0,012768834	0,023435524	0,02164851
year_2021_Bin_44_MAG_00002	0	0,004792513	0,009123482	0,011937983	0,006552662	0,004846751	0,0075489003	0,008265304	0,0054959212	0,0020387385	0,0028793598	0,003649913	0,0046082074	0,006967354	0,0025046142	0,0031154524	0,027237402	0,020261757	0,013097403	0,012664147	0,016949503	0,011867688	0,012875022	0,013437387	0,015262286	0,014327655	0,011389414	0,017364213	0,016392844	0,0160695	0,0125277	0,019198697	0,015033653
year_2021_Bin_44_MAG_00003	0,02706271	0,02212683	0,029402163	0,017912759	0,036145512	0,024035843	0,014898933	0,024554802	0,02067898	0,010713428	0,018694233	0,026870057	0,023427816	0,040789843	0,007858217	0,008822107	0,020566728	0,014890524	0,018608542	0,016734978	0,025351342	0,016901365	0,019318199	0,01896828	0,02586427	0,019442257	0,0146881	0,025740182	0,025280155	0,022016393	0,018702703	0,023061406	0,020258272
year_2021_Bin_45_MAG_00001	0,00971143	0,005235674	0,007912646	0,0041262107	0,011226171	0,010506651	0,03723121	0,0019987435	0,0039756154	0,0032505046	0,0069422787	0,035844713	0,034889515	0,030872274	0,036453042	0,032076076	0,008694128	0,010197123	0,013594623	0,011282157	0,022013728	0,015807502	0,015569144	0,0144051295	0,036075957	0,020838123	0,012959798	0,039466303	0,03714607	0,04503349	0,035365004	0,051196948	0,042843275
year_2021_Bin_45_MAG_00002	0,0051989383	0,004255258	0,0049097394	0,006708515	0,013399456	0,007446105	0,053621672	0,004725936	0,008571193	0,002466821	0,003739915	0,017382067	0,012791407	0,033844627	0,03316626	0,03785259	0,018865563	0,013013908	0,014569751	0,012690321	0,019483887	0,012118104	0,01635609	0,016492026	0,02585394	0,011581071	0,011302986	0,024486864	0,019958975	0,018370364	0,018220952	0,043648504	0,05145224
year_2021_Bin_45_MAG_00004	0,0060452768	0,005371663	0,010506473	0,018787922	0,017321348	0,010883286	0,041173864	0,006794419	0,010867529	0,0035513823	0,005826469	0,03032301	0,028119002	0,044136483	0,041972943	0,03423453	0,017144045	0,015476766	0,017069396	0,016071284	0,022360323	0,014307845	0,01891374	0,018064862	0,030990504	0,016046615	0,015425924	0,031576976	0,026089702	0,030708138	0,021639818	0,04888197	0,045429297
year_2021_Bin_47_MAG_00001	0	0,04423874	0	0,027984275	0,054746017	0,020228354	0,007118982	0,03364992	0,006194898	0,0015336664	0,010076571	0,0040576938	0,003948978	0,0070299697	0,0016080393	0,0062131677	0,02731185	0,060480908	0,030878093	0,05055764	0,05278857	0,060265344	0,05150227	0,028769376	0,02282528	0,01483544	0,012971113	0,021565385	0,031098463	0,023598306	0,036748957	0,06891165	0,06457486
year_2021_Bin_47_MAG_00002	0,020104216	0,00855175	0,011338883	0,038819704	0,005444632	0,026762929	0,04648591	0,029140465	0,02083357	0,008395768	0,014113848	0,018806977	0,03321511	0,033131715	0,0313356	0,017992327	0,014730748	0,036940403	0,02268841	0,037200317	0,047302138	0,026560135	0,035527878	0,033090338	0,03615552	0,031382173	0,013441728	0,04486661	0,04837758	0,04250458	0,037983183	0,042240057	0,049308334
year_2021_Bin_48_MAG_00001	0,02513516	0,019216912	0,038303446	0,030423352	0,021415308	0,01888111	0,036708526	0,018658115	0,02950432	0,027337924	0,02953942	0,009944099	0,009893071	0,02059693	0,015599027	0,021717882	0,018832752	0,03473266	0,025500227	0,03515776	0,04122567	0,029934926	0,022322733	0,023318889	0,037479132	0,03803929	0,03220637	0,03562574	0,041914474	0,03460451	0,027404835	0,036434148	0,042237554
year_2021_Bin_6_MAG_00001	0,0136759095	0,020252202	0,015894528	0,015996221	0,020588946	0,0085354345	0,02020714	0,02131392	0,018128043	0,020104527	0,028219884	0,0060467143	0,005433989	0,012507668	0,021702604	0,016458396	0,02622239	0,026109481	0,018790126	0,02194661	0,025024528	0,021050366	0,022110572	0,018981189	0,027469287	0,025002884	0,024106782	0,025966331	0,026577398	0,028594702	0,020190412	0,029181195	0,030519256
year_2021_Bin_7_MAG_00002	0,030575542	0,017334383	0,010340423	0,004832974	0,010707212	0,0037638815	0,0142487325	0,015178974	0,02211554	0,006206884	0,011056742	0,0098112505	0,016593514	0,013358382	0,009192267	0,00637256	0,025563683	0,025982043	0,026894286	0,02895179	0,01762471	0,027794532	0,0225105	0,021610502	0,016058568	0,020601206	0,016162703	0,013663025	0,016640041	0,014000366	0,016881796	0,010329821	0,011117023
