""	SAMPLE_101	SAMPLE_102	SAMPLE_103	SAMPLE_104	SAMPLE_105	SAMPLE_106	SAMPLE_107	SAMPLE_108	SAMPLE_109	SAMPLE_111	SAMPLE_112	SAMPLE_113	SAMPLE_114	SAMPLE_115	SAMPLE_116	SAMPLE_117	SAMPLE_118	SAMPLE_121	SAMPLE_122	SAMPLE_123	SAMPLE_124	SAMPLE_125	SAMPLE_126	SAMPLE_127	SAMPLE_128	SAMPLE_129	SAMPLE_130	SAMPLE_132	SAMPLE_133	SAMPLE_134	SAMPLE_135	SAMPLE_136	SAMPLE_137
year_1978_Bin_15_MAG_00002	0	0,008629774	0,05444475	0,04127498	0,031541303	0,048338808	0,01605108	0,03855634	0,013542946	0,016779868	0	0,022996183	0,006081677	0,02370108	0,012045569	0	0,017288905	0,015534616	0,017387526	0,020987585	0,030086445	0,012845457	0,019184899	0,021929026	0,035664763	0,014038473	0,013843826	0,024683742	0,03142764	0,022352004	0,021782074	0,027417194	0,02391405
year_1978_Bin_15_MAG_00007	0,025393313	0,043251168	0,043337643	0,036074612	0,0732146	0,012086224	0	0,03074787	0	0,010018284	0,044583313	0,021864822	0,024976686	0,06905877	0,026202677	0,019879894	0,018358458	0,020830052	0,016085852	0,01671362	0,023057953	0,014664073	0,020354763	0,022720885	0,022504177	0,018711464	0,011860508	0,019799447	0,019597527	0,03620088	0,025532786	0,039090928	0,040787213
year_1978_Bin_17_MAG_00001	0,011195852	0,0039646416	0,0023605938	0,019354481	0,016899241	0,029453773	0,043234546	0,026699362	0,032872133	0,020685157	0,0238537	0,029781133	0,018263655	0,0306865	0,026710663	0,022180563	0,035021216	0,018328717	0,012823365	0,013556462	0,018005969	0,014156694	0,019829232	0,020473775	0,024503281	0,00981902	0,008985266	0,030111734	0,025321994	0,028861087	0,02756286	0,03546089	0,033827588
year_1978_Bin_19_MAG_00003	0	0	0	0,004893158	0,016925447	0,014663969	0,049830038	0	0,04528399	0	0	0,004419126	0,011838637	0,0052550565	0	0	0,03644859	0,031553034	0,051080473	0,042782888	0,025099453	0,03854166	0,031112019	0,019090207	0,021230783	0,014121839	0,013102675	0,020075072	0,013702705	0,021071864	0,018380523	0,042091787	0,08034219
year_1978_Bin_24_MAG_00002	0	0,027429584	0,011687882	0,01229021	0,020767512	0,025661705	0,023332655	0,015641676	0,0050632125	0,01132047	0,009553497	0,02099168	0,026097355	0,013135407	0,015530941	0,008961459	0,046019178	0,01629871	0,012012091	0,020454336	0,016585147	0,028464682	0,011476094	0,012185303	0,017946577	0,017171068	0,01468167	0,017560288	0,01676443	0,016277973	0,012653155	0,02135234	0,018469768
year_1978_Bin_3_MAG_00001	0	0,005147308	0,0047978535	0,008201416	0,008167371	0,005332825	0,014836456	0,015631203	0,024621658	0,040327925	0	0,01161954	0,007343565	0,05018946	0,04077812	0,08099575	0,07722893	0,0172545	0,016623873	0,016208882	0,01972406	0,015296554	0,017857414	0,018388003	0,027856257	0,027282696	0,019232195	0,023608439	0,02481373	0,025694326	0,026898867	0,032776613	0,038669176
year_1978_Bin_33_MAG_00001	0	0,040109936	0	0,0020974097	0,0035697287	0,0023585707	0,005534836	0,01465335	0,009810281	0,0030610056	0	0,002960325	0,011907966	0,008829065	0	0,027574856	0,01576731	0,0077842795	0,013962708	0,012003082	0,014176297	0,010331041	0,014617847	0,014896202	0,030365672	0,015881604	0,013430484	0,023242237	0,030403726	0,021605598	0,015378074	0,03455882	0,034275744
year_1978_Bin_35_MAG_00001	0	0,0059773596	0,005194303	0,0051052216	0,011441189	0,009069686	0,021757169	0,0126138525	0,008882452	0,004026375	0,009240854	0,008970171	0,01268233	0,0098316	0,01782039	0,0030119577	0,033214387	0,019553035	0,016771566	0,016003732	0,023946043	0,015102688	0,01790566	0,016465535	0,028120814	0,019665295	0,017389946	0,02577607	0,025780499	0,02266428	0,026758034	0,023990598	0,021204177
year_1978_Bin_36_MAG_00001	0	0,020497095	0,022361517	0,008579036	0,011030816	0,019572398	0,01485454	0,036513615	0,030327674	0,0049876547	0,012820525	0,007954482	0,008662632	0,012015418	0,014884209	0,018667256	0,020896036	0,032542706	0,015352903	0,016083103	0,016964125	0,012703383	0,021008609	0,016888507	0,020380758	0,010896178	0,010595174	0,020370532	0,0184296	0,015482402	0,015321091	0,027644511	0,02510794
year_1978_Bin_37_MAG_00001	0	0,01692215	0	0,028295124	0,019558832	0	0	0,030388664	0,021898275	0,007942832	0,034225088	0,012910515	0,025303299	0,027258541	0,010355135	0,006436192	0,027986499	0,019836506	0,016507592	0,018139431	0,019018695	0,013765501	0,018389892	0,019598816	0,01989264	0,0118724955	0,010440964	0,019489584	0,017322063	0,020447304	0,01923599	0,024789901	0,021888357
